DrugName,Strength,Betweenness,Eigenvector
06-Paris-LA-66 protocol,4813,0.0,0.0028722094615567413
10074-G5,311664,5.00987028740211e-06,0.008093232035114488
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",218723,8.248131865196923e-06,0.008234819283435602
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",138768,4.631363825705889e-06,0.007775422799369901
"10,11-dihydro-10-hydroxycarbamazepine",246043,7.925738841796274e-06,0.008162798808004695
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",98564,2.035537102654289e-06,0.007649699451175134
"10,11-dihydroxy-N-n-propylnorapomorphine",2710,0.0,0.0015960586114176318
"10,12-octadecadienoic acid",366646,4.724307617490869e-06,0.008054951563799229
10-(2-pyrazolylethoxy)camptothecin,276334,3.5002018855056e-06,0.00781369293105795
103D5R,824271,1.6436135938948334e-05,0.008631060523328443
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,119891,4.492291763983797e-06,0.007915867652718088
10-(6'-plastoquinonyl)decyltriphenylphosphonium,339664,5.279693201270784e-06,0.008036146454774627
10-(alpha-diethylaminopropionyl)phenothiazine,37025,4.583581562791544e-07,0.0062906456466794245
10-carboxymethyl-9-acridanone,449036,5.179159219914032e-06,0.008107332198429048
10-deacetylpaclitaxel,206298,6.539218694388786e-06,0.008076418167216779
10-decarbamoylmitomycin C,990116,1.3899386652477966e-05,0.008565331554162864
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,619227,1.811032979695269e-05,0.008603485216234838
10-formyltetrahydropteroylglutamic acid,18815,3.1819974123693215e-07,0.006477859127856419
"10H-3,6-diazaphenothiazine",198741,3.4891534536435058e-06,0.007757856813985392
10-hydroxycamptothecin,519492,9.303239824059179e-06,0.008343248072779773
10-hydroxynortriptyline,93446,4.418244272579473e-06,0.007613249510311222
10-hydroxywarfarin,168611,5.400632177554653e-06,0.007910996632141301
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",791455,1.4047335878512745e-05,0.008523708397343765
